date,close,open,high,low,change
24-Mar-25,562.26,575.87,575.87,562.26,-2.16%
21-Mar-25,574.68,574.68,574.68,553.62,3.87%
20-Mar-25,553.28,553.28,553.28,541.01,-2.00%
13-Mar-25,564.56,568.55,568.55,564.56,-0.68%
12-Mar-25,568.45,568.45,568.45,567.77,0.11%
11-Mar-25,567.82,567.82,567.82,566.75,0.17%
10-Mar-25,566.87,566.87,566.87,552.95,2.58%
7-Mar-25,552.61,552.61,552.61,551.74,0.14%
6-Mar-25,551.81,530.32,551.81,530.32,4.19%
5-Mar-25,529.62,529.62,529.62,529.2,0.13%
4-Mar-25,528.92,528.92,528.92,521.54,0.57%
3-Mar-25,525.9,525.9,525.9,521.89,0.86%
28-Feb-25,521.4,524.83,524.83,521.4,-1.41%
27-Feb-25,528.85,528.85,528.85,521.87,-1.42%
26-Feb-25,536.48,536.48,536.48,528.5,-1.40%
25-Feb-25,544.11,544.11,544.11,544.11,1.29%
24-Feb-25,537.16,537.16,537.16,537.16,1.45%
21-Feb-25,529.49,529.49,529.49,529.49,0.01%
20-Feb-25,529.44,529.44,529.44,529.44,1.40%
19-Feb-25,522.14,529.3,529.3,522.14,1.46%
18-Feb-25,514.62,521.97,521.97,514.62,0.09%
17-Feb-25,514.18,514.18,514.18,514.09,-1.35%
14-Feb-25,521.22,521.22,521.22,513.3,-1.53%
13-Feb-25,529.31,529.31,529.31,521.02,-0.57%
12-Feb-25,532.35,532.35,532.35,529.34,2.33%
11-Feb-25,520.22,532.11,532.11,520.22,-1.35%
10-Feb-25,527.35,527.35,527.35,520.03,3.99%
7-Feb-25,507.13,507.13,507.13,507.13,-2.81%
6-Feb-25,521.77,521.77,521.77,521.77,-2.08%
5-Feb-25,532.85,532.85,532.85,532.85,-1.29%
4-Feb-25,539.8,539.8,539.8,539.8,1.25%
3-Feb-25,533.12,533.12,533.12,533.12,5.90%
31-Jan-25,503.41,503.41,503.41,503.41,-1.34%
30-Jan-25,510.23,510.23,510.23,510.23,0.16%
29-Jan-25,509.42,509.42,509.42,509.42,-5.40%
28-Jan-25,538.52,538.52,538.52,538.52,5.66%
27-Jan-25,509.67,509.67,509.67,509.67,-2.53%
24-Jan-25,522.89,522.89,522.89,522.89,1.40%
23-Jan-25,515.66,515.66,515.66,515.66,-1.33%
22-Jan-25,522.62,522.62,522.62,522.62,-1.23%
21-Jan-25,529.13,529.13,529.13,522.4,-0.02%
20-Jan-25,529.25,529.39,529.39,529.25,-1.14%
17-Jan-25,535.35,535.35,535.35,528.36,-0.05%
16-Jan-25,535.63,535.63,535.63,535.09,-7.72%
15-Jan-25,580.44,580.44,580.44,535.28,-2.62%
14-Jan-25,596.07,596.07,596.07,580.34,2.57%
13-Jan-25,581.11,596.1,596.1,581.11,3.08%
10-Jan-25,563.72,579.95,579.95,563.72,-2.48%
9-Jan-25,578.05,578.05,578.05,563.43,2.36%
8-Jan-25,564.74,578.07,578.07,564.74,4.15%
7-Jan-25,542.26,564.77,564.77,542.26,-4.70%
6-Jan-25,568.98,568.98,568.98,542.07,-0.77%
3-Jan-25,573.38,573.38,573.38,567.89,-0.01%
2-Jan-25,573.46,573.46,573.46,562.72,0.07%
1-Jan-25,573.05,573.05,573.05,573.05,1.66%
31-Dec-24,563.7,572.6,572.6,563.7,-0.14%
30-Dec-24,564.47,564.47,564.47,563.68,0.18%
27-Dec-24,563.48,563.59,563.59,563.48,-0.02%
26-Dec-24,563.59,563.59,563.59,563.22,0.11%
25-Dec-24,562.98,562.98,562.98,562.98,0.02%
24-Dec-24,562.85,562.85,562.85,562.85,0.12%
23-Dec-24,562.19,562.72,562.72,562.19,0.61%
20-Dec-24,558.77,558.77,558.77,558.77,2.65%
19-Dec-24,544.32,558.59,558.59,544.32,1.66%
18-Dec-24,535.43,543.47,543.47,535.43,-1.30%
17-Dec-24,542.48,542.48,542.48,535.31,1.41%
16-Dec-24,534.95,542.24,542.24,534.95,0.25%
13-Dec-24,533.64,534.21,534.21,533.64,0.12%
12-Dec-24,533.02,533.31,533.31,533.02,-1.23%
11-Dec-24,539.65,539.65,539.65,532.74,-1.20%
10-Dec-24,546.19,546.19,546.19,539.4,4.15%
9-Dec-24,524.43,545.98,545.98,524.43,-2.60%
6-Dec-24,538.42,538.42,538.42,523.82,0.07%
5-Dec-24,538.03,538.08,538.08,538.03,-2.59%
4-Dec-24,552.32,552.32,552.32,537.58,1.31%
3-Dec-24,545.16,552.31,552.31,545.16,0.02%
2-Dec-24,545.03,545.03,545.03,544.96,0.12%
29-Nov-24,544.38,544.38,544.38,543.88,-1.27%
28-Nov-24,551.38,544.26,544.26,544.26,-1.57%
27-Nov-24,560.17,560.17,560.17,551.11,-0.91%
26-Nov-24,565.31,565.31,565.31,560.13,-1.32%
25-Nov-24,572.85,572.85,572.85,565.03,-2.86%
22-Nov-24,589.69,589.69,589.69,572.5,-0.65%
21-Nov-24,593.54,593.54,593.54,589.51,1.38%
20-Nov-24,585.47,593.34,593.34,585.47,-2.15%
19-Nov-24,598.31,598.31,598.31,585.11,0.98%
18-Nov-24,592.51,598.13,598.13,592.51,2.18%
15-Nov-24,579.86,591.57,591.57,579.86,0.09%
14-Nov-24,579.32,579.66,579.66,579.32,0.54%
13-Nov-24,576.22,578.65,578.65,576.22,1.18%
12-Nov-24,569.49,569.49,569.49,569.49,2.48%
11-Nov-24,555.73,569.06,569.06,555.73,0.54%
8-Nov-24,552.76,554.62,554.62,552.76,-6.33%
7-Nov-24,590.11,590.11,590.11,552.7,-4.80%
6-Nov-24,619.84,619.84,619.84,589.85,1.48%
5-Nov-24,610.79,618.71,618.71,610.79,1.32%
4-Nov-24,602.84,610.6,610.6,602.84,0.75%
1-Nov-24,598.37,602.71,602.71,598.37,4.60%
31-Oct-24,572.08,598.01,598.01,572.08,-2.29%
30-Oct-24,585.49,585.49,585.49,571.9,-5.97%
29-Oct-24,622.66,622.66,622.66,585.54,0.00%
28-Oct-24,622.66,622.66,622.66,585.59,0.30%
25-Oct-24,620.78,621.21,621.21,620.78,-0.01%
24-Oct-24,620.85,620.85,620.85,620.56,0.05%
23-Oct-24,620.51,620.79,620.79,620.51,5.82%
22-Oct-24,586.41,619.97,619.97,586.41,0.27%
21-Oct-24,584.82,585.94,585.94,584.82,0.13%
18-Oct-24,584.08,584.08,584.08,583.95,0.11%
17-Oct-24,583.42,583.42,583.42,583.42,0.04%
16-Oct-24,583.21,583.21,583.21,583.21,-9.33%
15-Oct-24,643.25,643.25,643.25,583.08,0.21%
14-Oct-24,641.91,642.98,642.98,641.91,0.00%
11-Oct-24,641.91,641.91,641.91,641.63,-0.02%
10-Oct-24,642.05,642.05,642.05,641.41,-2.66%
9-Oct-24,659.58,640.87,640.87,640.87,4.28%
8-Oct-24,632.53,632.53,632.53,632.53,0.08%
7-Oct-24,632,632,632,632,0.96%
4-Oct-24,626.01,630.91,630.91,626.01,0.00%
3-Oct-24,626.01,657.69,657.69,626.01,0.00%
2-Oct-24,626.01,626.43,626.43,626.01,0.11%
1-Oct-24,625.31,625.84,625.84,625.31,0.00%
30-Sep-24,625.31,625.31,625.31,598.45,0.03%
27-Sep-24,625.1,625.1,625.1,624.23,0.16%
26-Sep-24,624.11,624.69,624.69,624.11,0.12%
25-Sep-24,623.34,623.74,623.74,623.34,9.70%
24-Sep-24,568.22,623.1,623.1,568.22,0.00%
23-Sep-24,568.22,568.22,568.22,550.06,-13.07%
20-Sep-24,653.68,653.68,653.68,567.19,2.56%
19-Sep-24,637.37,637.37,637.37,613.65,0.00%
18-Sep-24,637.37,637.37,637.37,612.39,0.10%
17-Sep-24,636.72,637.24,637.24,636.72,0.03%
16-Sep-24,636.52,636.52,636.52,636.5,0.16%
13-Sep-24,635.53,635.72,635.72,635.53,-0.08%
12-Sep-24,636.04,636.04,636.04,635.93,0.22%
11-Sep-24,634.66,635.67,635.67,634.66,1.48%
10-Sep-24,625.38,634.9,634.9,625.38,0.01%
9-Sep-24,625.32,625.32,625.32,624.98,-9.97%
6-Sep-24,694.54,694.54,694.54,623.81,-0.01%
5-Sep-24,694.58,694.58,694.58,694.36,-0.13%
4-Sep-24,695.45,695.45,695.45,694.43,-4.84%
3-Sep-24,730.81,696.31,696.31,730.81,5.03%
2-Sep-24,695.83,696.01,696.01,695.83,0.21%
30-Aug-24,694.36,694.66,694.66,691.94,0.11%
29-Aug-24,693.6,693.97,693.97,693.6,0.04%
28-Aug-24,693.33,693.33,693.33,693.33,-0.04%
27-Aug-24,693.63,693.63,693.63,693.13,0.15%
26-Aug-24,692.6,692.94,692.94,692.6,0.14%
23-Aug-24,691.63,691.63,691.63,691.63,0.00%
